,tips
632,Cercospora_zeae-maydis
633,Pseudocercospora_musae
634,Mycosphaerella_eumusae
635,Mycosphaerella
636,Cladosporium_fulvum
637,Dothistroma_septosporum
638,Zasmidium_cellare
639,Zymoseptoria_brevis
640,Zymoseptoria_pseudotritici
641,Zymoseptoria_ardabiliae
642,Mycosphaerella_graminicola
643,Dissoconium_aciculare
644,Acidomyces_richmondensis
645,Acidomyces_richmondensis
646,Piedraia_hortae
647,Teratosphaeria_nubilosa
648,Hortaea_thailandica
649,Hortaea_werneckii
650,Baudoinia_compniacensis
651,Friedmanniomyces_endolithicus
652,Friedmanniomyces_simplex
653,Hortaea_acidophila
654,Rachicladosporium_antarcticum
655,Rachicladosporium_sp.
656,Cladosporium_sphaerospermum
657,Polychaeton_citri
658,Delphinella_strobiligena
659,Aureobasidium_pullulans
660,Aureobasidium_pullulans
661,Aureobasidium_pullulans
662,Aureobasidium_pullulans
663,Aureobasidium_pullulans
664,Elsinoe_ampelina
665,Myriangium_duriaei
666,Cryomyces_minteri
667,Viridothelium_virens
668,Tuber_magnatum
669,Tuber_aestivum
670,Tuber_indicum
671,Tuber_melanosporum
672,Tuber_brumale
673,Tubbor1
674,Choiromyces_venosus
675,Morchella_snyderi
676,Morchella_importuna
677,Morimp1
678,Tricharina_praecox
679,Sphaerosporella_brunnea
680,Pyronema_confluens
681,Pyronema_domesticum
682,Pyronema_omphalodes
683,Wilcoxina_mikolae
684,Trichophaea_hybrida
685,Geopyxis_carbonaria
686,Ascni1
687,Terbo2
688,Terfezia_claveryi
689,Tirmania_nivea
690,Kalaharituber_pfeilii
691,Peziza_echinospora
692,Ascobolus_immersus
693,Monacrosporium_haptotylum
694,Arthrobotrys_oligospora
695,Drechslerella_stenobrocha
696,Yarrowia_lipolytica
697,Yarrowia_lipolytica
698,Yarrowia_lipolytica
699,Yarrowia_lipolytica
700,Yarrowia_lipolytica
701,Yarrowia_lipolytica
702,Yarrowia_lipolytica
703,Yarrowia_lipolytica
704,Yarrowia_lipolytica
705,Yarrowia_lipolytica_1
706,Yarrowia_lipolytica
707,Nadsonia_fulvescens
708,Blastobotrys_raffinosifermentans
709,Arxula
710,Wickerhamiella_sorbophila
711,Babjeviella_inositovora
712,Candida_dubliniensis
713,Candida_albicans
714,Candida_tropicalis
715,Candida_orthopsilosis
716,Candida_parapsilosis
717,Lodderomyces_elongisporus
718,Spathaspora_passalidarum
719,Scheffersomyces_stipitis
720,Candida_tanzawaensis
721,Debaryomyces_hansenii
722,Debaryomyces_fabryi
723,Debaryomyces_fabryi
724,Meyerozyma_guilliermondii
725,Candida_tenuis
726,Canmem1
727,Hyphopichia_burtonii
728,Metschnikowia_bicuspidata
729,Metschnikowia_fructicola
730,Metschnikowia_bicuspidata
731,Clavispora_lusitaniae
732,Pichia_membranifaciens
733,Pichia_kudriavzevii
734,Saturnispora_dispora
735,Dekkera_bruxellensis
736,Ambrosiozyma_philentoma
737,Ogataea_polymorpha
738,Ogataea_parapolymorpha
739,Candida_arabinofermentans
740,Candida_boidinii
741,Kuraishia_capsulata
742,Citeromyces_matritensis
743,Pichia_pastoris
744,Nakazawaea_wickerhamii
745,Peterozyma_xylosa
