old_taxonID_linked_genome_sequence,species,genus,family,order,class,phylum
Candida_succiphila,Candida succiphila,Candida,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_tammaniensis,Candida tammaniensis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_tropicalis,Candida tropicalis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_vartiovaarae,Candida vartiovaarae,Candida,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_wancherniae,Candida wancherniae,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Capronia_coronata,Capronia coronata,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Capronia_epimyces,Capronia epimyces,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Cephaloascus_albidus,Cephaloascus albidus,Cephaloascus,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cephaloascus_fragrans,Cephaloascus fragrans,Cephaloascus,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ceratocystiopsis_brevicomis,Ceratocystiopsis brevicomis,Ceratocystiopsis,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Ascomycota
Ceratocystiopsis_minuta,Ceratocystiopsis minuta,Ceratocystiopsis,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Ascomycota
Ceratocystis_adiposa,Ceratocystis adiposa,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ceratocystis_albifundus,Ceratocystis albifundus,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ceratocystis_cacaofunesta,Ceratocystis cacaofunesta,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ceratocystis_eucalypticola,Ceratocystis eucalypticola,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ceratocystis_fimbriata,Ceratocystis fimbriata,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ceratocystis_harringtonii,Ceratocystis harringtonii,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ceratocystis_manginecans,Ceratocystis manginecans,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ceratocystis_platani,Ceratocystis platani,Ceratocystis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Cercospora_berteroae,Cercospora berteroae,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Cercospora_beticola,Cercospora beticola,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Cercospora_canescens,Cercospora canescens,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Cercospora_nicotianae,Cercospora nicotianae,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Cercospora_sojina,Cercospora sojina,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Cercospora_zeina,Cercospora zeina,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Cetradonia_linearis,Cetradonia linearis,Cetradonia,Cetradoniaceae,Lecanorales,Lecanoromycetes,Ascomycota
Chaetomium_cochliodes,Chaetomium cochliodes,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Chaetomium_globosum,Chaetomium globosum,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Chaetomium_thermophilum,Chaetomium thermophilum,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Chalaropsis_thielavioides,Chalaropsis thielavioides,Chalaropsis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Chlorociboria_aeruginascens,Chlorociboria aeruginascens,Chlorociboria,Chlorociboriaceae,Helotiales,Leotiomycetes,Ascomycota
Chrysoporthe_austroafricana,Chrysoporthe austroafricana,Chrysoporthe,Cryphonectriaceae,Diaporthales,Sordariomycetes,Ascomycota
Chrysoporthe_cubensis,Chrysoporthe cubensis,Chrysoporthe,Cryphonectriaceae,Diaporthales,Sordariomycetes,Ascomycota
Chrysoporthe_deuterocubensis,Chrysoporthe deuterocubensis,Chrysoporthe,Cryphonectriaceae,Diaporthales,Sordariomycetes,Ascomycota
Chrysosporium_queenslandicum,Chrysosporium queenslandicum,Chrysosporium,Onygenaceae,Onygenales,Eurotiomycetes,Ascomycota
Ciborinia_camelliae,Ciborinia camelliae,Ciborinia,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota
Citeromyces_hawaiiensis,Citeromyces hawaiiensis,Citeromyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Citeromyces_matritensis,Citeromyces matritensis,Citeromyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Citeromyces_siamensis,Citeromyces siamensis,Citeromyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cladonia_macilenta,Cladonia macilenta,Cladonia,Cladoniaceae,Lecanorales,Lecanoromycetes,Ascomycota
Cladonia_metacorallifera,Cladonia metacorallifera,Cladonia,Cladoniaceae,Lecanorales,Lecanoromycetes,Ascomycota
Cladonia_uncialis,Cladonia uncialis,Cladonia,Cladoniaceae,Lecanorales,Lecanoromycetes,Ascomycota
Cladophialophora_bantiana,Cladophialophora bantiana,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Cladophialophora_carrionii,Cladophialophora carrionii,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Cladophialophora_immunda,Cladophialophora immunda,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Cladophialophora_psammophila,Cladophialophora psammophila,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Cladophialophora_yegresii,Cladophialophora yegresii,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Cladosporium_cladosporioides,Cladosporium cladosporioides,Cladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Ascomycota
Cladosporium_sphaerospermum,Cladosporium sphaerospermum,Cladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Ascomycota
Clarireedia_homoeocarpa,Clarireedia homoeocarpa,Clarireedia,Rutstroemiaceae,Helotiales,Leotiomycetes,Ascomycota
Claviceps_fusiformis,Claviceps fusiformis,Claviceps,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Claviceps_paspali,Claviceps paspali,Claviceps,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Claviceps_purpurea,Claviceps purpurea,Claviceps,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Clavispora_lusitaniae,Clavispora lusitaniae,Clavispora,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Clohesyomyces_aquaticus,Clohesyomyces aquaticus,Clohesyomyces,Lindgomycetaceae,Pleosporales,Dothideomycetes,Ascomycota
Clonostachys_rosea,Clonostachys rosea,Clonostachys,Bionectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Coccidioides_immitis,Coccidioides immitis,Coccidioides,Onygenaceae,Onygenales,Eurotiomycetes,Ascomycota
Coccidioides_posadasii,Coccidioides posadasii,Coccidioides,Onygenaceae,Onygenales,Eurotiomycetes,Ascomycota
Coleophoma_crateriformis,Coleophoma crateriformis,Coleophoma,Dermateaceae,Helotiales,Leotiomycetes,Ascomycota
Coleophoma_cylindrospora,Coleophoma cylindrospora,Coleophoma,Dermateaceae,Helotiales,Leotiomycetes,Ascomycota
Colletotrichum_acutatum,Colletotrichum acutatum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_chlorophyti,Colletotrichum chlorophyti,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_coccodes,Colletotrichum coccodes,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_falcatum,Colletotrichum falcatum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_fioriniae,Colletotrichum fioriniae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_fructicola,Colletotrichum fructicola,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_gloeosporioides,Colletotrichum gloeosporioides,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_godetiae,Colletotrichum godetiae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_graminicola,Colletotrichum graminicola,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_higginsianum,Colletotrichum higginsianum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_incanum,Colletotrichum incanum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_lentis,Colletotrichum lentis,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_lindemuthianum,Colletotrichum lindemuthianum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_musae,Colletotrichum musae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_nymphaeae,Colletotrichum nymphaeae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_orbiculare,Colletotrichum orbiculare,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_orchidophilum,Colletotrichum orchidophilum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_salicis,Colletotrichum salicis,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_sansevieriae,Colletotrichum sansevieriae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_simmondsii,Colletotrichum simmondsii,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_sublineola,Colletotrichum sublineola,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_tofieldiae,Colletotrichum tofieldiae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Colletotrichum_truncatum,Colletotrichum truncatum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Coniella_lustricola,Coniella lustricola,Coniella,Schizoparmaceae,Diaporthales,Sordariomycetes,Ascomycota
Coniochaeta_hoffmannii,Coniochaeta hoffmannii,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,Ascomycota
Coniochaeta_ligniaria,Coniochaeta ligniaria,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,Ascomycota
Coniosporium_apollinis,Coniosporium apollinis,Coniosporium,Coniosporiaceae,Coniosporiales,Dothideomycetes,Ascomycota
Cordyceps_brongniartii,Cordyceps brongniartii,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Cordyceps_cicadae,Cordyceps cicadae,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Cordyceps_confragosa,Cordyceps confragosa,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Cordyceps_farinosa,Cordyceps farinosa,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Cordyceps_fumosorosea,Cordyceps fumosorosea,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Cordyceps_militaris,Cordyceps militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Cordyceps_pruinosa,Cordyceps pruinosa,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Cordyceps_tenuipes,Cordyceps tenuipes,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Corinectria_fuckeliana,Corinectria fuckeliana,Corinectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Corynespora_cassiicola,Corynespora cassiicola,Corynespora,Corynesporascaceae,Pleosporales,Dothideomycetes,Ascomycota
Cryomyces_antarcticus,Cryomyces antarcticus,Cryomyces,Cryomyces_fm,Cryomyces_or,Dothideomycetes,Ascomycota
Cryphonectria_radicalis,Cryphonectria radicalis,Cryphonectria,Cryphonectriaceae,Diaporthales,Sordariomycetes,Ascomycota
Curvularia_geniculata,Curvularia geniculata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Curvularia_lunata,Curvularia lunata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Curvularia_papendorfii,Curvularia papendorfii,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Cyberlindnera_americana,Cyberlindnera americana,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_fabianii,Cyberlindnera fabianii,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_jadinii,Cyberlindnera jadinii,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_maclurae,Cyberlindnera maclurae,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_misumaiensis,Cyberlindnera misumaiensis,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_mrakii,Cyberlindnera mrakii,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_petersonii,Cyberlindnera petersonii,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_saturnus,Cyberlindnera saturnus,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_suaveolens,Cyberlindnera suaveolens,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyberlindnera_xylosilytica,Cyberlindnera xylosilytica,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Cyphellophora_europaea,Cyphellophora europaea,Cyphellophora,Cyphellophoraceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Dactylellina_haptotyla,Dactylellina haptotyla,Dactylellina,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota
Dactylonectria_macrodidyma,Dactylonectria macrodidyma,Dactylonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Daldinia_eschscholtzii,Daldinia eschscholtzii,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Danielozyma_ontarioensis,Danielozyma ontarioensis,Danielozyma,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Davidsoniella_virescens,Davidsoniella virescens,Davidsoniella,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Deakozyma_indianensis,Deakozyma indianensis,Deakozyma,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Debaryomyces_fabryi,Debaryomyces fabryi,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Debaryomyces_hansenii,Debaryomyces hansenii,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Debaryomyces_maramus,Debaryomyces maramus,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Debaryomyces_nepalensis,Debaryomyces nepalensis,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Debaryomyces_prosopidis,Debaryomyces prosopidis,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Debaryomyces_subglobosus,Debaryomyces subglobosus,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Diaporthe_ampelina,Diaporthe ampelina,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota
Diaporthe_aspalathi,Diaporthe aspalathi,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota
Diaporthe_helianthi,Diaporthe helianthi,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota
Diaporthe_longicolla,Diaporthe longicolla,Diaporthe,Diaporthaceae,Diaporthales,Sordariomycetes,Ascomycota
Diddensiella_caesifluorescens,Diddensiella caesifluorescens,Diddensiella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Didymobotryum_rigidum,Didymobotryum rigidum,Didymobotryum,Didymobotryum_fm,Didymobotryum_fm,Sordariomycetes,Ascomycota
Diplodia_corticola,Diplodia corticola,Diplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycota
Diplodia_sapinea,Diplodia sapinea,Diplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycota
Diplodia_scrobiculata,Diplodia scrobiculata,Diplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycota
Diplodia_seriata,Diplodia seriata,Diplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycota
Dipodascus_albidus,Dipodascus albidus,Dipodascus,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Dipodascus_geniculatus,Dipodascus geniculatus,Dipodascus,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Dothistroma_pini,Dothistroma pini,Dothistroma,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Dothistroma_septosporum,Dothistroma septosporum,Dothistroma,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Drechmeria_coniospora,Drechmeria coniospora,Drechmeria,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Drechslerella_stenobrocha,Drechslerella stenobrocha,Drechslerella,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota
Elaphomyces_granulatus,Elaphomyces granulatus,Elaphomyces,Elaphomycetaceae,Eurotiales,Eurotiomycetes,Ascomycota
Elsinoe_australis,Elsinoe australis,Elsinoe,Elsinoaceae,Myriangiales,Dothideomycetes,Ascomycota
Emergomyces_orientalis,Emergomyces orientalis,Emergomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota
Emergomyces_pasteurianus,Emergomyces pasteurianus,Emergomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota
Emmonsia_crescens,Emmonsia crescens,Emmonsia,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota
Endocarpon_pusillum,Endocarpon pusillum,Endocarpon,Verrucariaceae,Verrucariales,Eurotiomycetes,Ascomycota
Endoconidiophora_laricicola,Endoconidiophora laricicola,Endoconidiophora,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Endoconidiophora_polonica,Endoconidiophora polonica,Endoconidiophora,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Epichloe_amarillans,Epichloe amarillans,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_aotearoae,Epichloe aotearoae,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_baconii,Epichloe baconii,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_brachyelytri,Epichloe brachyelytri,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_bromicola,Epichloe bromicola,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_elymi,Epichloe elymi,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_festucae,Epichloe festucae,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_gansuensis,Epichloe gansuensis,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_glyceriae,Epichloe glyceriae,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_sylvatica,Epichloe sylvatica,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epichloe_typhina,Epichloe typhina,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Epicoccum_nigrum,Epicoccum nigrum,Epicoccum,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycota
Epicoccum_sorghinum,Epicoccum sorghinum,Epicoccum,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycota
Eremothecium_coryli,Eremothecium coryli,Eremothecium,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Eremothecium_cymbalariae,Eremothecium cymbalariae,Eremothecium,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Eremothecium_gossypii,Eremothecium gossypii,Eremothecium,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Eremothecium_sinecaudum,Eremothecium sinecaudum,Eremothecium,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Erysiphe_necator,Erysiphe necator,Erysiphe,Erysiphaceae,Erysiphales,Leotiomycetes,Ascomycota
Erysiphe_pisi,Erysiphe pisi,Erysiphe,Erysiphaceae,Erysiphales,Leotiomycetes,Ascomycota
Erysiphe_pulchra,Erysiphe pulchra,Erysiphe,Erysiphaceae,Erysiphales,Leotiomycetes,Ascomycota
Escovopsis_weberi,Escovopsis weberi,Escovopsis,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Esteya_vermicola,Esteya vermicola,Esteya,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Ascomycota
Eutypa_lata,Eutypa lata,Eutypa,Diatrypaceae,Xylariales,Sordariomycetes,Ascomycota
Evernia_prunastri,Evernia prunastri,Evernia,Parmeliaceae,Lecanorales,Lecanoromycetes,Ascomycota
Exophiala_alcalophila,Exophiala alcalophila,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_aquamarina,Exophiala aquamarina,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_calicioides,Exophiala calicioides,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_dermatitidis,Exophiala dermatitidis,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_mesophila,Exophiala mesophila,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_oligosperma,Exophiala oligosperma,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_sideris,Exophiala sideris,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_spinifera,Exophiala spinifera,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exophiala_xenobiotica,Exophiala xenobiotica,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Exserohilum_turcicum,Exserohilum turcicum,Exserohilum,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Exutisphaerella_laricina,Exutisphaerella laricina,Exutisphaerella,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Falciphora_oryzae,Falciphora oryzae,Falciphora,Magnaporthaceae,Magnaporthales,Sordariomycetes,Ascomycota
Fonsecaea_erecta,Fonsecaea erecta,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Fonsecaea_monophora,Fonsecaea monophora,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Fonsecaea_multimorphosa,Fonsecaea multimorphosa,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Fonsecaea_nubica,Fonsecaea nubica,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Fonsecaea_pedrosoi,Fonsecaea pedrosoi,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Fragosphaeria_purpurea,Fragosphaeria purpurea,Fragosphaeria,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Ascomycota
Fusarium_agapanthi,Fusarium agapanthi,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_algeriense,Fusarium algeriense,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_asiaticum,Fusarium asiaticum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_avenaceum,Fusarium avenaceum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_azukicola,Fusarium azukicola,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_beomiforme,Fusarium beomiforme,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_brasiliense,Fusarium brasiliense,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_burgessii,Fusarium burgessii,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_circinatum,Fusarium circinatum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_commune,Fusarium commune,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_culmorum,Fusarium culmorum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_cuneirostrum,Fusarium cuneirostrum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_equiseti,Fusarium equiseti,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_euwallaceae,Fusarium euwallaceae,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_fracticaudum,Fusarium fracticaudum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_fujikuroi,Fusarium fujikuroi,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_graminearum,Fusarium graminearum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_hostae,Fusarium hostae,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_langsethiae,Fusarium langsethiae,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_longipes,Fusarium longipes,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_mangiferae,Fusarium mangiferae,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_meridionale,Fusarium meridionale,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_nygamai,Fusarium nygamai,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Fusarium_oxysporum,Fusarium oxysporum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
