old_taxonID_linked_genome_sequence,species,genus,family,order,class,phylum
Talaromyces_verruculosus,Talaromyces verruculosus,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Ascomycota
Talaromyces_wortmannii,Talaromyces wortmannii,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Ascomycota
Taphrina_deformans,Taphrina deformans,Taphrina,Taphrinaceae,Taphrinales,Taphrinomycetes,Ascomycota
Taphrina_flavorubra,Taphrina flavorubra,Taphrina,Taphrinaceae,Taphrinales,Taphrinomycetes,Ascomycota
Taphrina_populina,Taphrina populina,Taphrina,Taphrinaceae,Taphrinales,Taphrinomycetes,Ascomycota
Taphrina_wiesneri,Taphrina wiesneri,Taphrina,Taphrinaceae,Taphrinales,Taphrinomycetes,Ascomycota
Tetrapisispora_blattae,Tetrapisispora blattae,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Tetrapisispora_fleetii,Tetrapisispora fleetii,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Tetrapisispora_iriomotensis,Tetrapisispora iriomotensis,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Tetrapisispora_namnaonensis,Tetrapisispora namnaonensis,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Tetrapisispora_phaffii,Tetrapisispora phaffii,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Teunomyces_cretensis,Teunomyces cretensis,Teunomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Teunomyces_gatunensis,Teunomyces gatunensis,Teunomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Teunomyces_kruisii,Teunomyces kruisii,Teunomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Thermoascus_crustaceus,Thermoascus crustaceus,Thermoascus,Thermoascaceae,Eurotiales,Eurotiomycetes,Ascomycota
Thermomyces_lanuginosus,Thermomyces lanuginosus,Thermomyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Ascomycota
Thermothelomyces_thermophila,Thermothelomyces thermophila,Thermothelomyces,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Thielavia_terrestris,Thielavia terrestris,Thielavia,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Thielaviopsis_ethacetica,Thielaviopsis ethacetica,Thielaviopsis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Thielaviopsis_euricoi,Thielaviopsis euricoi,Thielaviopsis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Thielaviopsis_musarum,Thielaviopsis musarum,Thielaviopsis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Thielaviopsis_punctulata,Thielaviopsis punctulata,Thielaviopsis,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Tolypocladium_capitatum,Tolypocladium capitatum,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Tolypocladium_inflatum,Tolypocladium inflatum,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Tolypocladium_ophioglossoides,Tolypocladium ophioglossoides,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Tolypocladium_paradoxum,Tolypocladium paradoxum,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Torrubiella_hemipterigena,Torrubiella hemipterigena,Torrubiella,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Tortispora_caseinolytica,Tortispora caseinolytica,Tortispora,Trigonopsidaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Tortispora_ganteri,Tortispora ganteri,Tortispora,Trigonopsidaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Tortispora_starmeri,Tortispora starmeri,Tortispora,Trigonopsidaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Torulaspora_delbrueckii,Torulaspora delbrueckii,Torulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Torulaspora_franciscae,Torulaspora franciscae,Torulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Torulaspora_maleeae,Torulaspora maleeae,Torulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Torulaspora_microellipsoides,Torulaspora microellipsoides,Torulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Torulaspora_pretoriensis,Torulaspora pretoriensis,Torulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Trichoderma_arundinaceum,Trichoderma arundinaceum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_asperellum,Trichoderma asperellum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_atroviride,Trichoderma atroviride,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_brevicompactum,Trichoderma brevicompactum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_citrinoviride,Trichoderma citrinoviride,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_gamsii,Trichoderma gamsii,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_guizhouense,Trichoderma guizhouense,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_hamatum,Trichoderma hamatum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_harzianum,Trichoderma harzianum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_koningii,Trichoderma koningii,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_koningiopsis,Trichoderma koningiopsis,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_longibrachiatum,Trichoderma longibrachiatum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_parareesei,Trichoderma parareesei,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_pleuroti,Trichoderma pleuroti,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_reesei,Trichoderma reesei,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma_virens,Trichoderma virens,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichophyton_benhamiae,Trichophyton benhamiae,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_equinum,Trichophyton equinum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_interdigitale,Trichophyton interdigitale,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_mentagrophytes,Trichophyton mentagrophytes,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_rubrum,Trichophyton rubrum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_soudanense,Trichophyton soudanense,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_tonsurans,Trichophyton tonsurans,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_verrucosum,Trichophyton verrucosum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichophyton_violaceum,Trichophyton violaceum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota
Trichothecium_ovalisporum,Trichothecium ovalisporum,Trichothecium,Trichothecium_fm,Hypocreales,Sordariomycetes,Ascomycota
Trichothecium_roseum,Trichothecium roseum,Trichothecium,Trichothecium_fm,Hypocreales,Sordariomycetes,Ascomycota
Trichothecium_sympodiale,Trichothecium sympodiale,Trichothecium,Trichothecium_fm,Hypocreales,Sordariomycetes,Ascomycota
Trigonopsis_variabilis,Trigonopsis variabilis,Trigonopsis,Trigonopsidaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Trigonopsis_vinaria,Trigonopsis vinaria,Trigonopsis,Trigonopsidaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Tuber_borchii,Tuber borchii,Tuber,Tuberaceae,Pezizales,Pezizomycetes,Ascomycota
Tuber_calosporum,Tuber calosporum,Tuber,Tuberaceae,Pezizales,Pezizomycetes,Ascomycota
Tuber_magnatum,Tuber magnatum,Tuber,Tuberaceae,Pezizales,Pezizomycetes,Ascomycota
Tuber_melanosporum,Tuber melanosporum,Tuber,Tuberaceae,Pezizales,Pezizomycetes,Ascomycota
Tuber_umbilicatum,Tuber umbilicatum,Tuber,Tuberaceae,Pezizales,Pezizomycetes,Ascomycota
Umbilicaria_muehlenbergii,Umbilicaria muehlenbergii,Umbilicaria,Umbilicariaceae,Umbilicariales,Lecanoromycetes,Ascomycota
Umbilicaria_pustulata,Umbilicaria pustulata,Umbilicaria,Umbilicariaceae,Umbilicariales,Lecanoromycetes,Ascomycota
Uncinocarpus_reesii,Uncinocarpus reesii,Uncinocarpus,Onygenaceae,Onygenales,Eurotiomycetes,Ascomycota
Ustilaginoidea_virens,Ustilaginoidea virens,Ustilaginoidea,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Valsa_mali,Valsa mali,Valsa,Valsaceae,Diaporthales,Sordariomycetes,Ascomycota
Vanderwaltozyma_polyspora,Vanderwaltozyma polyspora,Vanderwaltozyma,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Venturia_carpophila,Venturia carpophila,Venturia,Venturiaceae,Venturiales,Dothideomycetes,Ascomycota
Venturia_effusa,Venturia effusa,Venturia,Venturiaceae,Venturiales,Dothideomycetes,Ascomycota
Venturia_inaequalis,Venturia inaequalis,Venturia,Venturiaceae,Venturiales,Dothideomycetes,Ascomycota
Venturia_pyrina,Venturia pyrina,Venturia,Venturiaceae,Venturiales,Dothideomycetes,Ascomycota
Verruconis_gallopava,Verruconis gallopava,Verruconis,Sympoventuriaceae,Venturiales,Dothideomycetes,Ascomycota
Verticillium_albo-atrum,Verticillium albo-atrum,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_alfalfae,Verticillium alfalfae,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_dahliae,Verticillium dahliae,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_isaacii,Verticillium isaacii,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_klebahnii,Verticillium klebahnii,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
